Prototype_ID,Energy,Uncertainty
118,-0.554769663,0.014217244
266,-0.553285737,0.009548237
45,-0.55192764,0.109994303
181,-0.551533713,0.023653252
28,-0.54719067,0.017751415
84,-0.54463461,0.020939542
265,-0.538902839,0.009047874
267,-0.536791417,0.008904478
247,-0.530405692,0.021381978
69,-0.530071499,0.234175599
133,-0.527389378,0.102783376
4,-0.526750592,0.04554582
117,-0.52558527,0.195895449
24,-0.523932462,0.071925487
187,-0.523657313,0.139066147
9,-0.520433958,0.236913147
202,-0.511935154,0.037579889
87,-0.509867814,0.035883126
157,-0.506110472,0.207033036
25,-0.501545559,0.134793001
26,-0.499651272,0.169542043
156,-0.498610905,0.22169089
222,-0.498469027,0.155582408
184,-0.496744843,0.081922942
134,-0.4949054,0.057852846
164,-0.491725986,0.039773046
13,-0.4911689,0.060531345
146,-0.481197017,0.223082619
268,-0.474285792,0.009629654
225,-0.473229563,0.175039134
249,-0.47248562,0.145030484
190,-0.471939946,0.177406023
115,-0.468719761,0.203500351
216,-0.46793554,0.207502295
149,-0.46688928,0.215527148
38,-0.465833689,0.215820202
116,-0.463354311,0.216845672
201,-0.4619777,0.208448721
174,-0.459223569,0.034622412
224,-0.456778041,0.20861299
168,-0.455391137,0.211001044
132,-0.427586468,0.073259293
160,-0.422824772,0.153302177
242,-0.421721787,0.234561708
260,-0.420658813,0.00960067
244,-0.417818729,0.335787283
264,-0.417443324,0.009608479
186,-0.414933977,0.359246477
55,-0.413475636,0.152561396
239,-0.411682427,0.094971296
129,-0.401615974,0.168294245
77,-0.400184362,0.046676308
198,-0.399579584,0.342388622
88,-0.399031315,0.162426213
97,-0.392849034,0.210135643
136,-0.391842832,0.327795958
72,-0.388239834,0.075637914
94,-0.386467462,0.055498996
95,-0.384961085,0.260484738
151,-0.37855537,0.294336856
0,-0.37743064,0.13993531
109,-0.374161763,0.250547686
193,-0.373521789,0.29642881
64,-0.372333006,0.332485215
68,-0.369903043,0.10852655
254,-0.366477944,0.104291922
16,-0.349188551,0.32865573
44,-0.34697604,0.102549927
122,-0.338251544,0.109553843
12,-0.337744932,0.198133456
123,-0.333309006,0.18928931
128,-0.331803642,0.161432426
153,-0.315130536,0.140878088
207,-0.30763701,0.203337465
204,-0.30277341,0.067431749
215,-0.295244024,0.189126589
27,-0.288555429,0.069171499
255,-0.280611021,0.143819908
245,-0.277797001,0.221715137
238,-0.262981974,0.179331529
32,-0.249870317,0.400148095
182,-0.248115732,0.304621816
57,-0.242585293,0.094857816
166,-0.23858284,0.061279309
71,-0.227310871,0.093654322
65,-0.210856705,0.09652899
54,-0.198642054,0.096994803
185,-0.168679935,0.073397351
192,-0.158349825,0.096232803
47,-0.155785615,0.49855945
196,-0.135723037,0.100459969
218,-0.135079403,0.132485178
208,-0.133952684,0.111139916
126,-0.109855034,0.354691939
98,-0.10302826,0.275870053
108,-0.097525254,0.110729331
138,-0.097051062,0.149918199
223,-0.090098719,0.12953912
86,-0.088615843,0.130138113
169,-0.077403065,0.1819413
102,-0.069757916,0.113293768
6,-0.064936322,0.114276558
135,-0.062035525,0.132327469
227,-0.058135274,0.227169038
89,-0.056385381,0.313199433
237,-0.016129035,0.37709221
48,-0.010714129,0.425123995
178,-0.010430505,0.161490856
80,-0.008641172,0.410982828
221,-0.006949545,0.408655941
159,-0.000783362,0.259617905
60,0.017633333,0.115017223
127,0.070806813,0.200718358
231,0.076839245,0.118125327
141,0.087909824,0.580106923
31,0.111383457,0.117991303
253,0.116072635,0.629895759
167,0.144939489,0.175729792
121,0.165214387,0.158962579
61,0.177019785,0.257834021
212,0.181968456,0.149288125
205,0.183619276,0.14766777
142,0.188499059,0.15468372
226,0.192264832,0.181786915
161,0.198697328,0.413968272
162,0.207713407,0.150343153
75,0.20798854,0.156568748
217,0.266647281,0.706386
113,0.272104184,0.123855559
112,0.280872112,0.394442553
131,0.312969313,0.148159538
110,0.324793079,0.729319055
120,0.328818429,0.506726156
63,0.33443885,0.146192297
14,0.352558226,0.749600529
188,0.35786606,0.196542485
191,0.358150957,0.613757492
250,0.359071176,0.149536092
17,0.366193704,0.175250106
232,0.374798894,0.428166872
170,0.378180746,0.249287442
195,0.385809041,0.281309524
58,0.403894128,0.492997052
93,0.406707651,0.146376119
235,0.409724596,0.142979595
261,0.414187079,0.009671022
39,0.434409446,0.145342983
211,0.441186158,0.175049952
248,0.44430002,0.177334932
40,0.445444445,0.245539994
10,0.484296034,0.594151675
50,0.496947473,0.285902159
257,0.505260909,0.466997115
99,0.509851962,0.637661586
194,0.512621062,0.273238361
179,0.515407689,0.646662786
103,0.528013592,0.459794658
233,0.53201105,0.612313056
33,0.548072184,0.777423812
21,0.554152392,0.303540759
82,0.554465437,0.447800306
176,0.558494624,0.782832454
49,0.561637096,0.234079156
143,0.561905133,0.45387059
203,0.566265325,0.433421464
243,0.574459855,0.642160672
130,0.582852124,0.707195396
197,0.60217941,0.605947387
34,0.607521938,0.786787637
7,0.610595518,0.601687567
209,0.611425717,0.564647279
183,0.612232184,0.642679308
74,0.613615531,0.238896166
20,0.618843494,0.527471865
91,0.623264561,0.135143103
125,0.626469445,0.701730539
150,0.651038947,0.344664513
59,0.655053338,0.354632622
119,0.660984489,0.456255478
177,0.675392793,0.102859665
214,0.677007394,0.521697584
41,0.679600104,0.080898676
107,0.682857694,0.210838815
228,0.685031448,0.117981491
73,0.685427942,0.085177147
171,0.691092748,0.749001584
172,0.691373827,0.744710291
105,0.693621218,0.767161193
53,0.695554862,0.794863291
173,0.697160037,0.744480059
100,0.698586475,0.787306588
42,0.715548406,0.648283181
148,0.71792302,0.107636879
22,0.725354996,0.036622098
189,0.726082849,0.648614415
81,0.731152652,0.070430809
258,0.734797767,0.769989463
85,0.741505095,0.01761317
220,0.745029796,0.65591748
35,0.75037818,0.067792686
8,0.750508426,0.653834895
96,0.760347922,0.009489133
262,0.760424158,0.009485589
104,0.760425799,0.009485547
263,0.762342866,0.009462473
67,0.775235932,0.609875581
3,0.788403048,0.791721996
252,0.79345137,0.798134902
180,0.814217611,0.798534301
165,0.818261626,0.798544368
92,0.81904002,0.798493348
111,0.841726987,0.797347393
256,0.841979971,0.786273596
5,0.84292855,0.074470853
83,0.890987147,0.075917846
18,0.902571402,0.122235577
251,0.920582691,0.066558253
62,0.921722597,0.069300647
2,0.941504271,0.336620307
140,0.941647639,0.568764627
114,0.94663727,0.059938901
139,0.947228756,0.079274203
106,0.980774417,0.559750912
79,0.984813869,0.059177434
23,0.986559578,0.287924258
154,0.986827398,0.080345529
137,1.010991973,0.360063532
147,1.024628198,0.749574009
230,1.033228067,0.272486098
29,1.046141863,0.053917014
76,1.064703626,0.121564152
234,1.06497488,0.121562196
152,1.067199455,0.120410378
1,1.068149721,0.271872142
15,1.075095817,0.034516714
36,1.080794791,0.577897769
101,1.087956058,0.028034497
155,1.09016756,0.397797877
200,1.111455575,0.021417795
240,1.12190994,0.020221107
158,1.124287578,0.020191896
46,1.124790215,0.019566728
163,1.130658709,0.020876525
52,1.134956272,0.017543503
206,1.139081384,0.104677911
246,1.149699501,0.014675003
19,1.156872535,0.020573549
11,1.159598286,0.062603074
236,1.162002242,0.106673324
145,1.169495122,0.020272916
37,1.173535636,0.062663616
124,1.177840962,0.010438643
66,1.177847633,0.106525758
229,1.179550734,0.015776227
78,1.183852424,0.01043506
175,1.185628544,0.00979396
219,1.190220404,0.009671082
199,1.190694077,0.009665897
43,1.191157053,0.009692109
259,1.192628266,0.009672162
210,1.192635897,0.009672265
30,1.196346401,0.14086556
70,1.197665834,0.142201655
56,1.214694567,0.118470561
144,1.222910008,0.160578923
51,1.231506249,0.144019697
90,1.26667698,0.33724738
241,1.294044549,0.094721727
213,1.511360323,0.486473129